,action,value
2021-08-06,DIVIDEND,0.22
2021-05-07,DIVIDEND,0.22
2021-02-05,DIVIDEND,0.205
2020-11-06,DIVIDEND,0.205
2020-08-07,DIVIDEND,0.205
2020-05-08,DIVIDEND,0.205
2020-02-07,DIVIDEND,0.1925
2019-11-07,DIVIDEND,0.1925
2019-08-09,DIVIDEND,0.1925
2019-05-10,DIVIDEND,0.1925
2019-02-08,DIVIDEND,0.1825
2018-11-08,DIVIDEND,0.1825
2018-08-10,DIVIDEND,0.1825
2018-05-11,DIVIDEND,0.1825
2018-02-09,DIVIDEND,0.1575
2017-11-10,DIVIDEND,0.1575
2017-08-10,DIVIDEND,0.1575
2017-05-11,DIVIDEND,0.1575
2017-02-09,DIVIDEND,0.1425
2016-11-03,DIVIDEND,0.1425
