,action,value
2021-07-14,DIVIDEND,1.3
2021-04-14,DIVIDEND,1.3
2021-01-14,DIVIDEND,1.3
2020-10-14,DIVIDEND,1.18
2020-07-14,DIVIDEND,1.18
2020-04-14,DIVIDEND,1.18
2020-01-14,DIVIDEND,1.18
2019-10-11,DIVIDEND,1.07
2019-07-12,DIVIDEND,1.07
2019-04-12,DIVIDEND,1.07
2019-01-14,DIVIDEND,1.07
2018-10-12,DIVIDEND,0.96
2018-07-12,DIVIDEND,0.96
2018-04-12,DIVIDEND,0.96
2018-01-11,DIVIDEND,0.71
2017-10-12,DIVIDEND,0.64
2017-07-12,DIVIDEND,0.64
2017-04-11,DIVIDEND,0.64
2017-01-11,DIVIDEND,0.64
2016-10-12,DIVIDEND,0.57
