,action,value
2021-08-26,DIVIDEND,0.69
2021-05-27,DIVIDEND,0.69
2021-02-25,DIVIDEND,0.69
2020-12-03,DIVIDEND,0.62
2020-08-27,DIVIDEND,0.62
2020-05-28,DIVIDEND,0.62
2020-02-27,DIVIDEND,0.62
2019-12-05,DIVIDEND,0.54
2019-08-29,DIVIDEND,0.54
2019-05-30,DIVIDEND,0.54
2019-02-28,DIVIDEND,0.54
2018-11-28,DIVIDEND,0.48
2018-08-30,DIVIDEND,0.48
2018-06-07,DIVIDEND,0.48
2018-03-08,DIVIDEND,0.48
2017-11-30,DIVIDEND,0.45
2017-09-07,DIVIDEND,0.45
2017-06-07,DIVIDEND,0.45
2017-02-22,DIVIDEND,0.45
2016-11-30,DIVIDEND,0.42
