,action,value
2021-06-10,DIVIDEND,0.93
2021-03-11,DIVIDEND,0.93
2020-12-10,DIVIDEND,0.93
2020-09-10,DIVIDEND,0.91
2020-06-11,DIVIDEND,0.91
2020-03-12,DIVIDEND,0.91
2019-12-12,DIVIDEND,0.91
2019-09-12,DIVIDEND,0.79
2019-06-13,DIVIDEND,0.79
2019-03-07,DIVIDEND,0.79
2018-12-13,DIVIDEND,0.79
2018-09-13,DIVIDEND,0.69
2018-06-07,DIVIDEND,0.69
2018-03-08,DIVIDEND,0.63
2017-12-07,DIVIDEND,0.63
2017-09-07,DIVIDEND,0.57
2017-06-07,DIVIDEND,0.57
2017-03-08,DIVIDEND,0.57
2016-12-07,DIVIDEND,0.57
2016-09-07,DIVIDEND,0.53
