,action,value
2021-08-17,DIVIDEND,0.33
2021-05-18,DIVIDEND,0.33
2021-02-16,DIVIDEND,0.33
2020-11-17,DIVIDEND,0.28
2020-08-18,DIVIDEND,0.28
2020-05-19,DIVIDEND,0.28
2020-02-18,DIVIDEND,0.28
2019-11-19,DIVIDEND,0.27
2019-08-20,DIVIDEND,0.27
2019-05-21,DIVIDEND,0.27
2019-02-19,DIVIDEND,0.27
2018-11-20,DIVIDEND,0.26
2018-08-21,DIVIDEND,0.26
2018-05-22,DIVIDEND,0.26
2018-02-20,DIVIDEND,0.26
2017-11-14,DIVIDEND,0.225
2017-08-21,DIVIDEND,0.215
2017-05-22,DIVIDEND,0.215
2017-02-13,DIVIDEND,0.215
2016-11-14,DIVIDEND,0.215
