,action,value
2021-06-14,DIVIDEND,0.32
2021-03-15,DIVIDEND,0.32
2020-12-11,DIVIDEND,0.32
2020-09-16,DIVIDEND,0.32
2020-06-12,DIVIDEND,0.32
2020-03-13,DIVIDEND,0.32
2019-12-11,DIVIDEND,0.32
2019-09-16,DIVIDEND,0.32
2019-06-13,DIVIDEND,0.32
2019-03-14,DIVIDEND,0.32
2018-12-11,DIVIDEND,0.32
2018-09-14,DIVIDEND,0.32
2018-06-13,DIVIDEND,0.32
2018-03-14,DIVIDEND,0.32
2017-12-07,DIVIDEND,0.32
2017-09-14,DIVIDEND,0.32
2017-06-12,DIVIDEND,0.32
2017-03-13,DIVIDEND,0.32
2016-12-06,DIVIDEND,0.32
2016-09-13,DIVIDEND,0.32
