,action,value
2021-08-27,DIVIDEND,0.66
2021-05-28,DIVIDEND,0.66
2021-02-19,DIVIDEND,0.66
2020-11-27,DIVIDEND,0.66
2020-08-28,DIVIDEND,0.63
2020-05-22,DIVIDEND,0.63
2020-02-21,DIVIDEND,0.63
2019-11-22,DIVIDEND,0.63
2019-08-23,DIVIDEND,0.6
2019-05-24,DIVIDEND,0.6
2019-02-22,DIVIDEND,0.6
2018-11-23,DIVIDEND,0.6
2018-08-24,DIVIDEND,0.56
2018-05-25,DIVIDEND,0.56
2018-02-23,DIVIDEND,0.56
2017-11-24,DIVIDEND,0.56
2017-08-24,DIVIDEND,0.53
2017-05-25,DIVIDEND,0.53
2017-02-23,DIVIDEND,0.53
2016-11-23,DIVIDEND,0.53
