,action,value
2021-06-15,DIVIDEND,0.36
2021-03-16,DIVIDEND,0.36
2020-12-15,DIVIDEND,0.32
2020-09-15,DIVIDEND,0.32
2020-06-15,DIVIDEND,0.32
2020-03-16,DIVIDEND,0.32
2019-12-16,DIVIDEND,0.27
2019-09-13,DIVIDEND,0.27
2019-06-13,DIVIDEND,0.27
2019-03-14,DIVIDEND,0.27
2018-12-14,DIVIDEND,0.21
2018-09-14,DIVIDEND,0.21
2018-06-14,DIVIDEND,0.21
2018-03-14,DIVIDEND,0.21
2017-12-15,DIVIDEND,0.16
2017-09-15,DIVIDEND,0.16
2017-06-13,DIVIDEND,0.16
2017-03-13,DIVIDEND,0.16
2016-12-13,DIVIDEND,0.12
2016-09-13,DIVIDEND,0.12
