,action,value
2021-08-06,DIVIDEND,1.13
2021-05-07,DIVIDEND,1.13
2021-02-11,DIVIDEND,1.04
2020-11-06,DIVIDEND,1.04
2020-08-07,DIVIDEND,1.04
2020-05-15,DIVIDEND,1.04
2020-02-13,DIVIDEND,0.97
2019-11-01,DIVIDEND,0.97
2019-08-02,DIVIDEND,0.97
2019-05-03,DIVIDEND,0.97
2019-02-14,DIVIDEND,0.9
2018-11-02,DIVIDEND,0.9
2018-08-03,DIVIDEND,0.9
2018-05-04,DIVIDEND,0.9
2018-02-15,DIVIDEND,0.83
2017-11-03,DIVIDEND,0.83
2017-08-03,DIVIDEND,0.83
2017-05-04,DIVIDEND,0.83
2017-02-09,DIVIDEND,0.75
2016-11-03,DIVIDEND,0.75
