,action,value
2021-07-30,DIVIDEND,0.51
2021-04-30,DIVIDEND,0.51
2021-01-29,DIVIDEND,0.46
2020-10-30,DIVIDEND,0.46
2020-07-31,DIVIDEND,0.44
2020-04-30,DIVIDEND,0.44
2020-01-31,DIVIDEND,0.44
2019-10-31,DIVIDEND,0.44
2019-07-31,DIVIDEND,0.44
2019-04-30,DIVIDEND,0.44
2019-01-31,DIVIDEND,0.4
2018-10-31,DIVIDEND,0.4
2018-08-09,DIVIDEND,0.4
2018-07-31,DIVIDEND,0.4
2018-04-30,DIVIDEND,0.4
2018-01-31,DIVIDEND,0.36
2017-10-31,DIVIDEND,0.36
2017-07-28,DIVIDEND,0.36
2017-04-27,DIVIDEND,0.36
2017-01-30,DIVIDEND,0.33
2016-10-28,DIVIDEND,0.33
