,action,value
2021-06-21,DIVIDEND,0.145
2021-03-22,DIVIDEND,0.145
2020-12-14,DIVIDEND,0.145
2020-09-14,DIVIDEND,0.125
2020-06-15,DIVIDEND,0.125
2020-03-16,DIVIDEND,0.125
2019-12-16,DIVIDEND,0.125
2019-09-16,DIVIDEND,0.125
2019-06-18,DIVIDEND,0.115
2019-03-18,DIVIDEND,0.115
2018-12-14,DIVIDEND,0.115
2018-09-14,DIVIDEND,0.115
2018-06-15,DIVIDEND,0.115
2018-03-16,DIVIDEND,0.095
2017-12-15,DIVIDEND,0.095
2017-09-15,DIVIDEND,0.095
2017-06-15,DIVIDEND,0.08
2017-03-16,DIVIDEND,0.08
2016-12-09,DIVIDEND,0.08
2016-09-09,DIVIDEND,0.07
