,action,value
2021-08-31,DIVIDEND,0.68
2021-06-01,DIVIDEND,0.68
2021-03-02,DIVIDEND,0.62
2020-12-01,DIVIDEND,0.62
2020-09-01,DIVIDEND,0.58
2020-06-02,DIVIDEND,0.58
2020-03-03,DIVIDEND,0.58
2019-12-03,DIVIDEND,0.58
2019-09-03,DIVIDEND,0.58
2019-06-04,DIVIDEND,0.58
2019-03-05,DIVIDEND,0.52
2018-12-04,DIVIDEND,0.52
2018-09-04,DIVIDEND,0.52
2018-06-05,DIVIDEND,0.52
2018-03-06,DIVIDEND,0.45
2017-12-05,DIVIDEND,0.45
2017-09-01,DIVIDEND,0.45
2017-06-05,DIVIDEND,0.45
2017-02-27,DIVIDEND,0.41
2016-12-05,DIVIDEND,0.41
2016-09-02,DIVIDEND,0.41
