,action,value
2021-08-09,DIVIDEND,0.6025
2021-05-10,DIVIDEND,0.6025
2021-02-05,DIVIDEND,0.55
2020-11-09,DIVIDEND,0.55
2020-08-11,DIVIDEND,0.55
2020-05-11,DIVIDEND,0.55
2020-02-06,DIVIDEND,0.5
2019-11-08,DIVIDEND,0.5
2019-08-08,DIVIDEND,0.5
2019-05-10,DIVIDEND,0.5
2019-02-06,DIVIDEND,0.455
2018-11-08,DIVIDEND,0.455
2018-08-09,DIVIDEND,0.455
2018-05-10,DIVIDEND,0.455
2018-02-06,DIVIDEND,0.415
2017-11-09,DIVIDEND,0.415
2017-08-07,DIVIDEND,0.415
2017-05-03,DIVIDEND,0.415
2017-02-03,DIVIDEND,0.375
2016-11-07,DIVIDEND,0.375
