,action,value
2021-07-01,DIVIDEND,0.43
2021-03-31,DIVIDEND,0.43
2021-01-07,DIVIDEND,0.43
2020-10-08,DIVIDEND,0.43
2020-07-01,DIVIDEND,0.43
2020-04-02,DIVIDEND,0.43
2020-01-02,DIVIDEND,0.43
2019-10-03,DIVIDEND,0.43
2019-07-03,DIVIDEND,0.39
2019-04-04,DIVIDEND,0.39
2019-01-03,DIVIDEND,0.39
2018-10-04,DIVIDEND,0.39
2018-07-05,DIVIDEND,0.35
2018-04-05,DIVIDEND,0.35
2018-01-04,DIVIDEND,0.35
2017-10-05,DIVIDEND,0.35
2017-07-05,DIVIDEND,0.32
2017-04-05,DIVIDEND,0.32
2017-01-04,DIVIDEND,0.32
2016-10-05,DIVIDEND,0.32
