,action,value
2021-06-08,DIVIDEND,0.83
2021-03-09,DIVIDEND,0.83
2020-12-09,DIVIDEND,0.83
2020-09-08,DIVIDEND,0.79
2020-06-08,DIVIDEND,0.79
2020-03-09,DIVIDEND,0.79
2019-12-09,DIVIDEND,0.79
2019-09-06,DIVIDEND,0.77
2019-06-06,DIVIDEND,0.77
2019-03-07,DIVIDEND,0.77
2018-12-07,DIVIDEND,0.77
2018-09-06,DIVIDEND,0.75
2018-06-07,DIVIDEND,0.75
2018-03-08,DIVIDEND,0.75
2017-12-07,DIVIDEND,0.75
2017-09-07,DIVIDEND,0.73
2017-06-07,DIVIDEND,0.73
2017-03-08,DIVIDEND,0.73
2016-12-07,DIVIDEND,0.73
2016-09-07,DIVIDEND,0.66
