,action,value
2021-08-31,DIVIDEND,0.2
2021-05-28,DIVIDEND,0.15
2021-02-26,DIVIDEND,0.15
2020-11-30,DIVIDEND,0.15
2020-08-31,DIVIDEND,0.15
2020-05-29,DIVIDEND,0.15
2020-02-28,DIVIDEND,0.15
2019-11-29,DIVIDEND,0.15
2019-08-30,DIVIDEND,0.15
2019-05-31,DIVIDEND,0.15
2019-02-28,DIVIDEND,0.1
2018-11-30,DIVIDEND,0.1
2018-08-31,DIVIDEND,0.1
2018-05-31,DIVIDEND,0.1
2018-02-28,DIVIDEND,0.1
2017-11-30,DIVIDEND,0.1
2017-08-30,DIVIDEND,0.1
2017-05-30,DIVIDEND,0.1
2017-02-27,DIVIDEND,0.065
2016-11-29,DIVIDEND,0.065
