,action,value
2021-06-11,DIVIDEND,1.33
2021-03-12,DIVIDEND,1.33
2020-12-14,DIVIDEND,1.33
2020-09-14,DIVIDEND,1.2
2020-06-11,DIVIDEND,1.2
2020-03-12,DIVIDEND,1.2
2019-12-12,DIVIDEND,1.2
2019-09-12,DIVIDEND,1.125
2019-06-13,DIVIDEND,1.125
2019-03-14,DIVIDEND,1.125
2018-12-13,DIVIDEND,1.125
2018-09-13,DIVIDEND,1.05
2018-06-14,DIVIDEND,1.05
2018-03-15,DIVIDEND,1.05
2017-12-14,DIVIDEND,1.05
2017-09-14,DIVIDEND,0.95
2017-06-14,DIVIDEND,0.95
2017-03-15,DIVIDEND,0.95
2016-12-14,DIVIDEND,0.95
2016-09-14,DIVIDEND,0.885
