,action,value
2021-07-29,DIVIDEND,0.39
2021-04-28,DIVIDEND,0.39
2021-02-02,DIVIDEND,0.39
2020-10-27,DIVIDEND,0.39
2020-07-28,DIVIDEND,0.39
2020-04-28,DIVIDEND,0.39
2020-01-28,DIVIDEND,0.39
2019-10-29,DIVIDEND,0.36
2019-07-30,DIVIDEND,0.36
2019-04-30,DIVIDEND,0.32
2019-01-30,DIVIDEND,0.32
2018-10-30,DIVIDEND,0.27
2018-07-31,DIVIDEND,0.27
2018-05-01,DIVIDEND,0.22
2018-01-31,DIVIDEND,0.22
2017-10-31,DIVIDEND,0.18
2017-07-31,DIVIDEND,0.18
2017-05-01,DIVIDEND,0.14
2017-01-31,DIVIDEND,0.14
2016-10-31,DIVIDEND,0.12
