,action,value
2021-08-18,DIVIDEND,1.34
2021-05-18,DIVIDEND,1.34
2021-02-16,DIVIDEND,1.29
2020-11-17,DIVIDEND,1.29
2020-08-18,DIVIDEND,1.29
2020-05-18,DIVIDEND,1.29
2020-02-14,DIVIDEND,1.29
2019-11-15,DIVIDEND,1.19
2019-08-16,DIVIDEND,1.19
2019-05-16,DIVIDEND,1.19
2019-02-14,DIVIDEND,1.19
2018-11-15,DIVIDEND,1.12
2018-08-16,DIVIDEND,1.12
2018-05-17,DIVIDEND,1.12
2018-02-15,DIVIDEND,1.12
2017-11-16,DIVIDEND,1.08
2017-08-16,DIVIDEND,1.08
2017-05-17,DIVIDEND,1.08
2017-02-14,DIVIDEND,1.08
2016-11-16,DIVIDEND,1.08
