,action,value
2021-07-02,DIVIDEND,0.42
2021-04-05,DIVIDEND,0.42
2021-01-04,DIVIDEND,0.36
2020-10-05,DIVIDEND,0.36
2020-07-06,DIVIDEND,0.36
2020-04-06,DIVIDEND,0.36
2020-01-06,DIVIDEND,0.32
2019-10-07,DIVIDEND,0.32
2019-07-08,DIVIDEND,0.32
2019-04-08,DIVIDEND,0.32
2019-01-07,DIVIDEND,0.29
2018-10-05,DIVIDEND,0.29
2018-07-09,DIVIDEND,0.29
2018-04-09,DIVIDEND,0.29
2018-01-08,DIVIDEND,0.26
2017-10-06,DIVIDEND,0.26
2017-07-07,DIVIDEND,0.26
2017-04-07,DIVIDEND,0.26
2016-12-19,DIVIDEND,0.25
2016-09-12,DIVIDEND,0.25
