,action,value
2021-07-15,DIVIDEND,1.413
2021-04-15,DIVIDEND,0.413
2021-01-14,DIVIDEND,0.375
2020-10-15,DIVIDEND,0.375
2020-07-16,DIVIDEND,0.375
2020-04-15,DIVIDEND,0.375
2020-01-16,DIVIDEND,0.288
2019-10-16,DIVIDEND,0.288
2019-07-16,DIVIDEND,0.288
2019-04-15,DIVIDEND,0.22
2019-01-16,DIVIDEND,0.22
2018-10-16,DIVIDEND,0.22
2018-07-16,DIVIDEND,0.185
2018-04-13,DIVIDEND,0.185
2018-01-16,DIVIDEND,0.168
2017-10-16,DIVIDEND,0.168
2017-07-13,DIVIDEND,0.168
2017-04-11,DIVIDEND,0.168
2017-01-12,DIVIDEND,0.168
2016-10-13,DIVIDEND,0.168
