,action,value
2021-06-25,DIVIDEND,0.603
2021-03-26,DIVIDEND,0.6025
2020-12-31,DIVIDEND,0.603
2020-09-24,DIVIDEND,0.6025
2020-06-19,DIVIDEND,0.6025
2020-03-20,DIVIDEND,0.603
2019-12-31,DIVIDEND,0.568
2019-09-27,DIVIDEND,0.568
2019-06-27,DIVIDEND,0.568
2019-03-22,DIVIDEND,0.568
2018-12-31,DIVIDEND,0.54
2018-09-21,DIVIDEND,0.54
2018-06-22,DIVIDEND,0.54
2018-03-23,DIVIDEND,0.54
2017-12-29,DIVIDEND,0.504
2017-09-22,DIVIDEND,0.504
2017-06-22,DIVIDEND,0.504
2017-03-23,DIVIDEND,0.504
2016-12-22,DIVIDEND,0.504
2016-09-22,DIVIDEND,3.0
