,action,value
2021-08-12,DIVIDEND,0.383
2021-05-13,DIVIDEND,0.383
2021-03-05,DIVIDEND,0.383
2020-11-13,DIVIDEND,0.383
2020-08-13,DIVIDEND,0.383
2020-05-14,DIVIDEND,0.383
2020-02-19,DIVIDEND,0.383
2019-11-14,DIVIDEND,0.363
2019-08-14,DIVIDEND,0.363
2019-05-14,DIVIDEND,0.363
2019-02-19,DIVIDEND,0.363
2018-11-14,DIVIDEND,0.345
2018-08-14,DIVIDEND,0.345
2018-05-14,DIVIDEND,0.345
2018-02-14,DIVIDEND,0.345
2017-11-14,DIVIDEND,0.328
2017-08-11,DIVIDEND,0.328
2017-05-11,DIVIDEND,0.328
2017-02-13,DIVIDEND,0.328
2016-11-10,DIVIDEND,0.318
