,action,value
2021-07-26,DIVIDEND,0.28
2021-04-23,DIVIDEND,0.28
2021-02-02,DIVIDEND,0.28
2020-12-01,DIVIDEND,0.4
2020-10-26,DIVIDEND,0.25
2020-07-27,DIVIDEND,0.25
2020-04-27,DIVIDEND,0.25
2020-01-30,DIVIDEND,0.25
2019-10-24,DIVIDEND,0.22
2019-07-24,DIVIDEND,0.22
2019-04-23,DIVIDEND,0.215
2019-01-30,DIVIDEND,0.215
2018-10-23,DIVIDEND,0.2
2018-07-24,DIVIDEND,0.2
2018-04-24,DIVIDEND,0.185
2018-01-30,DIVIDEND,0.185
2017-10-24,DIVIDEND,0.16
2017-07-24,DIVIDEND,0.16
2017-04-24,DIVIDEND,0.16
2017-01-30,DIVIDEND,0.16
2016-10-21,DIVIDEND,0.15
