,action,value
2021-08-26,DIVIDEND,0.26
2021-05-27,DIVIDEND,0.26
2021-02-25,DIVIDEND,0.26
2020-11-25,DIVIDEND,0.24
2020-08-27,DIVIDEND,0.24
2020-05-28,DIVIDEND,0.24
2020-02-27,DIVIDEND,0.24
2019-11-27,DIVIDEND,0.22
2019-08-29,DIVIDEND,0.22
2019-05-30,DIVIDEND,0.22
2019-02-21,DIVIDEND,0.22
2018-11-29,DIVIDEND,0.2
2018-08-30,DIVIDEND,0.2
2018-05-24,DIVIDEND,0.2
2018-02-22,DIVIDEND,0.2
2017-11-22,DIVIDEND,0.18
2017-08-23,DIVIDEND,0.18
2017-05-24,DIVIDEND,0.18
2017-02-22,DIVIDEND,0.18
2016-11-23,DIVIDEND,0.16
2016-11-22,DIVIDEND,0.16
