,action,value
2021-06-25,DIVIDEND,0.75
2021-03-05,DIVIDEND,0.65
2020-12-11,DIVIDEND,0.65
2020-09-03,DIVIDEND,0.65
2020-06-26,DIVIDEND,0.65
2020-03-06,DIVIDEND,0.65
2019-12-06,DIVIDEND,0.65
2019-09-06,DIVIDEND,0.65
2019-06-21,DIVIDEND,0.65
2019-03-08,DIVIDEND,0.65
2018-12-07,DIVIDEND,0.65
2018-09-07,DIVIDEND,0.65
2018-06-22,DIVIDEND,0.65
2018-03-09,DIVIDEND,0.5
2017-12-08,DIVIDEND,0.5
2017-09-08,DIVIDEND,0.5
2017-06-20,DIVIDEND,0.5
2017-03-09,DIVIDEND,0.4
2016-12-08,DIVIDEND,0.4
2016-09-08,DIVIDEND,0.4
