,action,value
2021-07-01,DIVIDEND,1.19
2021-04-08,DIVIDEND,1.19
2021-01-14,DIVIDEND,1.1
2020-10-08,DIVIDEND,1.1
2020-07-01,DIVIDEND,1.1
2020-04-08,DIVIDEND,1.1
2020-01-16,DIVIDEND,1.02
2019-10-10,DIVIDEND,1.02
2019-07-03,DIVIDEND,1.02
2019-04-11,DIVIDEND,1.02
2019-01-17,DIVIDEND,0.93
2018-10-04,DIVIDEND,0.93
2018-07-05,DIVIDEND,0.93
2018-04-12,DIVIDEND,0.93
2018-01-18,DIVIDEND,0.84
2017-10-05,DIVIDEND,0.84
2017-07-05,DIVIDEND,0.84
2017-04-05,DIVIDEND,0.84
2017-01-18,DIVIDEND,0.76
2016-10-05,DIVIDEND,0.76
