,action,value
2021-08-31,DIVIDEND,2.0
2021-05-28,DIVIDEND,1.25
2021-03-01,DIVIDEND,1.25
2020-12-01,DIVIDEND,1.25
2020-08-31,DIVIDEND,1.25
2020-05-29,DIVIDEND,1.25
2020-02-28,DIVIDEND,1.25
2019-11-29,DIVIDEND,1.25
2019-08-29,DIVIDEND,1.25
2019-05-29,DIVIDEND,0.85
2019-02-27,DIVIDEND,0.8
2018-11-29,DIVIDEND,0.8
2018-08-29,DIVIDEND,0.8
2018-05-30,DIVIDEND,0.8
2018-02-28,DIVIDEND,0.75
2017-11-29,DIVIDEND,0.75
2017-08-29,DIVIDEND,0.75
2017-05-30,DIVIDEND,0.75
2017-02-28,DIVIDEND,0.65
2016-11-29,DIVIDEND,0.65
