,action,value
2021-08-09,DIVIDEND,0.15
2021-05-20,DIVIDEND,0.15
2021-02-18,DIVIDEND,0.15
2020-11-09,DIVIDEND,0.15
2020-08-10,DIVIDEND,0.15
2020-05-18,DIVIDEND,0.15
2020-02-14,DIVIDEND,0.15
2019-11-08,DIVIDEND,0.15
2019-08-12,DIVIDEND,0.15
2019-05-13,DIVIDEND,0.15
2019-02-15,DIVIDEND,0.15
2018-11-09,DIVIDEND,0.15
2018-08-13,DIVIDEND,0.15
2018-05-14,DIVIDEND,0.15
2018-02-16,DIVIDEND,0.15
2017-11-13,DIVIDEND,0.15
2017-08-11,DIVIDEND,0.15
2017-05-12,DIVIDEND,0.15
2017-02-10,DIVIDEND,0.15
2016-11-10,DIVIDEND,0.11
