,action,value
2021-06-15,DIVIDEND,0.33
2021-03-16,DIVIDEND,0.33
2020-12-15,DIVIDEND,0.3
2020-09-15,DIVIDEND,0.3
2020-06-15,DIVIDEND,0.3
2020-03-16,DIVIDEND,0.3
2019-12-13,DIVIDEND,0.275
2019-09-13,DIVIDEND,0.275
2019-06-13,DIVIDEND,0.275
2019-03-14,DIVIDEND,0.275
2018-12-13,DIVIDEND,0.24
2018-09-12,DIVIDEND,0.24
2018-06-13,DIVIDEND,0.24
2018-03-14,DIVIDEND,0.24
2017-12-13,DIVIDEND,0.2
2017-09-14,DIVIDEND,0.2
2017-06-14,DIVIDEND,0.2
2017-03-14,DIVIDEND,0.2
2016-12-13,DIVIDEND,0.17
2016-09-14,DIVIDEND,0.17
