,action,value
2021-08-12,DIVIDEND,0.17
2021-05-10,DIVIDEND,0.17
2021-02-12,DIVIDEND,0.155
2020-11-10,DIVIDEND,0.155
2020-08-13,DIVIDEND,0.155
2020-05-08,DIVIDEND,0.155
2020-02-12,DIVIDEND,0.31
2019-11-08,DIVIDEND,0.31
2019-08-14,DIVIDEND,0.31
2019-05-09,DIVIDEND,0.31
2019-02-13,DIVIDEND,0.3
2018-11-09,DIVIDEND,0.3
2018-08-15,DIVIDEND,0.3
2018-05-10,DIVIDEND,0.3
2018-03-26,DIVIDEND,0.42
2018-02-14,DIVIDEND,0.29
2017-11-13,DIVIDEND,0.29
2017-08-15,DIVIDEND,0.29
2017-05-10,DIVIDEND,0.29
2017-02-14,DIVIDEND,0.28
2016-11-11,DIVIDEND,0.28
2016-11-10,DIVIDEND,0.28
