,action,value
2021-06-18,DIVIDEND,0.27
2021-03-19,DIVIDEND,0.27
2020-12-18,DIVIDEND,0.26
2020-09-25,DIVIDEND,0.26
2020-06-19,DIVIDEND,0.26
2020-03-13,DIVIDEND,0.26
2019-12-13,DIVIDEND,0.26
2019-09-13,DIVIDEND,0.26
2019-06-21,DIVIDEND,0.26
2019-03-15,DIVIDEND,0.26
2018-12-14,DIVIDEND,0.26
2018-09-21,DIVIDEND,0.26
2018-06-22,DIVIDEND,0.26
2018-03-16,DIVIDEND,0.26
2017-12-15,DIVIDEND,0.26
2017-09-22,DIVIDEND,0.25
2017-06-26,DIVIDEND,0.25
2017-03-20,DIVIDEND,0.25
2016-12-12,DIVIDEND,0.25
2016-10-31,DIVIDEND,4.7
