,action,value
2021-08-31,DIVIDEND,0.2
2021-05-28,DIVIDEND,0.2
2021-02-26,DIVIDEND,0.2
2020-11-30,DIVIDEND,0.2
2020-08-31,DIVIDEND,0.2
2020-05-29,DIVIDEND,0.2
2020-02-28,DIVIDEND,0.2
2019-11-29,DIVIDEND,0.19
2019-09-03,DIVIDEND,0.19
2019-05-31,DIVIDEND,0.19
2019-02-28,DIVIDEND,0.19
2018-12-04,DIVIDEND,0.18
2018-08-31,DIVIDEND,0.18
2018-05-31,DIVIDEND,0.18
2018-02-28,DIVIDEND,0.18
2017-11-30,DIVIDEND,0.1
2017-08-30,DIVIDEND,0.1
2017-05-30,DIVIDEND,0.1
2017-02-27,DIVIDEND,0.1
2016-11-29,DIVIDEND,0.1
