,action,value
2021-07-30,DIVIDEND,0.27
2021-04-29,DIVIDEND,0.27
2021-01-29,DIVIDEND,0.263
2020-10-30,DIVIDEND,0.2625
2020-07-31,DIVIDEND,0.2625
2020-05-01,DIVIDEND,0.263
2020-01-31,DIVIDEND,0.25
2019-10-30,DIVIDEND,0.25
2019-07-30,DIVIDEND,0.25
2019-04-29,DIVIDEND,0.25
2019-01-30,DIVIDEND,0.2
2018-10-30,DIVIDEND,0.2
2018-07-30,DIVIDEND,0.2
2018-04-27,DIVIDEND,0.2
2018-01-30,DIVIDEND,0.125
2017-10-30,DIVIDEND,0.125
2017-07-27,DIVIDEND,0.125
2017-04-27,DIVIDEND,0.125
2017-01-30,DIVIDEND,0.125
2016-10-28,DIVIDEND,0.125
