,action,value
2021-05-28,DIVIDEND,1.02
2021-03-11,DIVIDEND,1.02
2020-11-19,DIVIDEND,0.85
2020-09-08,DIVIDEND,0.85
2020-06-01,DIVIDEND,0.85
2020-03-12,DIVIDEND,0.85
2019-11-21,DIVIDEND,0.75
2019-09-03,DIVIDEND,0.75
2019-05-16,DIVIDEND,0.685
2019-03-07,DIVIDEND,0.685
2018-11-21,DIVIDEND,0.685
2018-09-06,DIVIDEND,0.685
2018-05-31,DIVIDEND,0.57
2018-03-07,DIVIDEND,0.57
2017-11-16,DIVIDEND,0.57
2017-09-07,DIVIDEND,0.57
2017-05-31,DIVIDEND,0.53
2017-03-10,DIVIDEND,0.53
2016-11-16,DIVIDEND,0.53
2016-09-07,DIVIDEND,0.53
