,action,value
2021-07-14,DIVIDEND,1.025
2021-04-14,DIVIDEND,1.025
2021-03-12,DIVIDEND,1.0625
2021-01-14,DIVIDEND,1.025
2020-10-14,DIVIDEND,1.0
2020-07-14,DIVIDEND,1.0
2020-04-14,DIVIDEND,1.0
2020-01-14,DIVIDEND,1.0
2019-10-11,DIVIDEND,0.96
2019-07-12,DIVIDEND,0.96
2019-04-12,DIVIDEND,0.96
2019-01-14,DIVIDEND,0.96
2018-10-12,DIVIDEND,0.923
2018-07-12,DIVIDEND,0.923
2018-04-12,DIVIDEND,0.923
2018-01-11,DIVIDEND,0.923
2017-10-12,DIVIDEND,0.87
2017-07-12,DIVIDEND,0.87
2017-04-11,DIVIDEND,0.87
2017-01-11,DIVIDEND,0.87
2016-10-12,DIVIDEND,0.82
