,action,value
2021-08-19,DIVIDEND,0.437
2021-05-20,DIVIDEND,0.413
2021-02-19,DIVIDEND,0.39
2020-11-19,DIVIDEND,0.369
2020-08-20,DIVIDEND,0.368
2020-05-20,DIVIDEND,0.368
2020-02-20,DIVIDEND,0.367
2019-11-20,DIVIDEND,0.367
2019-08-20,DIVIDEND,0.366
2019-05-20,DIVIDEND,0.366
2019-02-20,DIVIDEND,0.365
2018-11-20,DIVIDEND,0.365
2018-08-20,DIVIDEND,0.364
2018-05-18,DIVIDEND,0.364
2018-02-20,DIVIDEND,0.363
2017-11-20,DIVIDEND,0.363
2017-08-17,DIVIDEND,0.362
2017-05-19,DIVIDEND,0.362
2017-02-16,DIVIDEND,0.361
2016-11-17,DIVIDEND,0.361
