,action,value
2021-06-14,DIVIDEND,0.86
2021-03-24,DIVIDEND,0.86
2020-12-24,DIVIDEND,0.86
2020-09-14,DIVIDEND,0.86
2020-06-12,DIVIDEND,0.84
2020-03-24,DIVIDEND,0.84
2019-12-24,DIVIDEND,0.84
2019-09-13,DIVIDEND,0.84
2019-06-13,DIVIDEND,0.8
2019-03-22,DIVIDEND,0.8
2018-12-24,DIVIDEND,0.8
2018-09-13,DIVIDEND,0.8
2018-06-14,DIVIDEND,0.7
2018-03-14,DIVIDEND,0.7
2017-12-20,DIVIDEND,0.66
2017-09-14,DIVIDEND,0.66
2017-06-13,DIVIDEND,0.61
2017-03-13,DIVIDEND,0.61
2016-12-20,DIVIDEND,0.61
2016-09-13,DIVIDEND,0.61
