,action,value
2021-08-17,DIVIDEND,0.58
2021-05-18,DIVIDEND,0.58
2021-02-16,DIVIDEND,0.58
2020-11-17,DIVIDEND,0.58
2020-08-18,DIVIDEND,0.58
2020-05-19,DIVIDEND,0.58
2020-02-18,DIVIDEND,0.58
2019-11-19,DIVIDEND,0.53
2019-08-20,DIVIDEND,0.53
2019-05-15,DIVIDEND,0.53
2019-02-19,DIVIDEND,0.53
2018-11-20,DIVIDEND,0.46
2018-08-15,DIVIDEND,0.46
2018-05-15,DIVIDEND,0.46
2018-02-20,DIVIDEND,0.46
2017-11-15,DIVIDEND,0.4
2017-08-14,DIVIDEND,0.4
2017-05-15,DIVIDEND,0.36
2017-02-14,DIVIDEND,0.36
2016-11-14,DIVIDEND,0.36
