,action,value
2021-08-18,DIVIDEND,0.06
2021-06-02,DIVIDEND,0.06
2021-03-03,DIVIDEND,0.06
2020-11-18,DIVIDEND,0.06
2020-08-19,DIVIDEND,0.06
2020-06-03,DIVIDEND,0.06
2020-03-04,DIVIDEND,0.06
2019-11-20,DIVIDEND,0.06
2019-08-21,DIVIDEND,0.35
2019-06-04,DIVIDEND,0.35
2019-03-06,DIVIDEND,0.35
2018-11-20,DIVIDEND,0.35
2018-08-21,DIVIDEND,0.35
2018-06-05,DIVIDEND,0.35
2018-03-21,DIVIDEND,0.34
2018-03-06,DIVIDEND,0.34
2017-11-20,DIVIDEND,0.34
2017-08-22,DIVIDEND,0.34
2017-05-31,DIVIDEND,0.34
2017-02-28,DIVIDEND,0.31
2016-11-18,DIVIDEND,0.31
