,action,value
2021-08-31,DIVIDEND,0.04
2021-06-09,DIVIDEND,0.04
2021-03-09,DIVIDEND,0.04
2020-12-03,DIVIDEND,0.04
2020-09-01,DIVIDEND,0.04
2020-06-04,DIVIDEND,0.04
2020-02-27,DIVIDEND,0.04
2019-11-27,DIVIDEND,0.04
2019-08-28,DIVIDEND,0.04
2019-05-30,DIVIDEND,0.04
2019-02-28,DIVIDEND,0.04
2018-11-29,DIVIDEND,0.04
2018-08-29,DIVIDEND,0.0375
2018-05-23,DIVIDEND,0.0375
2018-02-22,DIVIDEND,0.0375
2017-11-22,DIVIDEND,0.0375
2017-08-22,DIVIDEND,0.035
2017-05-19,DIVIDEND,0.035
2017-02-22,DIVIDEND,0.035
2016-11-23,DIVIDEND,0.035
