,action,value
2021-06-09,DIVIDEND,0.01
2021-03-09,DIVIDEND,0.01
2020-12-09,DIVIDEND,0.01
2020-09-14,DIVIDEND,0.01
2020-06-12,DIVIDEND,0.01
2020-03-09,DIVIDEND,0.79
2019-12-09,DIVIDEND,0.79
2019-09-09,DIVIDEND,0.79
2019-06-07,DIVIDEND,0.78
2019-03-08,DIVIDEND,0.78
2018-12-07,DIVIDEND,0.78
2018-09-07,DIVIDEND,0.78
2018-06-08,DIVIDEND,0.77
2018-03-08,DIVIDEND,0.77
2017-12-08,DIVIDEND,0.77
2017-09-08,DIVIDEND,0.77
2017-06-07,DIVIDEND,0.76
2017-03-08,DIVIDEND,0.76
2016-12-07,DIVIDEND,0.76
2016-09-07,DIVIDEND,0.76
