,action,value
2021-07-30,DIVIDEND,0.66
2021-05-11,DIVIDEND,0.66
2021-01-29,DIVIDEND,0.62
2020-10-30,DIVIDEND,0.62
2020-07-31,DIVIDEND,0.62
2020-05-14,DIVIDEND,0.62
2020-01-31,DIVIDEND,0.62
2019-10-31,DIVIDEND,0.62
2019-07-31,DIVIDEND,0.62
2019-05-14,DIVIDEND,0.62
2019-01-31,DIVIDEND,0.56
2018-10-31,DIVIDEND,0.56
2018-07-31,DIVIDEND,0.56
2018-05-08,DIVIDEND,0.56
2018-01-31,DIVIDEND,0.5
2017-10-31,DIVIDEND,0.5
2017-07-28,DIVIDEND,0.5
2017-05-08,DIVIDEND,0.46
2017-01-30,DIVIDEND,0.46
2016-10-28,DIVIDEND,0.46
