,action,value
2021-06-07,DIVIDEND,0.51
2021-03-08,DIVIDEND,0.51
2020-12-09,DIVIDEND,0.49
2020-09-08,DIVIDEND,0.49
2020-06-08,DIVIDEND,0.49
2020-03-09,DIVIDEND,0.49
2019-12-09,DIVIDEND,0.47
2019-09-06,DIVIDEND,0.47
2019-06-06,DIVIDEND,0.47
2019-03-07,DIVIDEND,0.47
2018-12-06,DIVIDEND,0.45
2018-09-06,DIVIDEND,0.45
2018-06-07,DIVIDEND,0.45
2018-03-07,DIVIDEND,0.45
2017-12-07,DIVIDEND,0.43
2017-09-07,DIVIDEND,0.43
2017-06-07,DIVIDEND,0.43
2017-03-08,DIVIDEND,0.43
2016-12-07,DIVIDEND,0.41
2016-09-07,DIVIDEND,0.41
