,action,value
2021-07-22,DIVIDEND,0.87
2021-04-22,DIVIDEND,0.87
2021-01-21,DIVIDEND,0.791
2020-10-22,DIVIDEND,0.791
2020-07-23,DIVIDEND,0.791
2020-04-23,DIVIDEND,0.791
2020-01-23,DIVIDEND,0.746
2019-10-17,DIVIDEND,0.746
2019-07-18,DIVIDEND,0.746
2019-04-17,DIVIDEND,0.746
2019-01-17,DIVIDEND,0.717
2018-10-18,DIVIDEND,0.717
2018-07-19,DIVIDEND,0.717
2018-04-19,DIVIDEND,0.717
2018-01-18,DIVIDEND,0.69
2017-10-19,DIVIDEND,0.69
2017-07-19,DIVIDEND,0.69
2017-04-19,DIVIDEND,0.69
2017-01-18,DIVIDEND,0.67
2016-10-19,DIVIDEND,0.67
