,action,value
2021-07-15,DIVIDEND,0.07
2021-04-15,DIVIDEND,0.07
2021-01-21,DIVIDEND,0.07
2020-10-15,DIVIDEND,0.07
2020-07-16,DIVIDEND,0.07
2020-04-16,DIVIDEND,0.07
2020-01-16,DIVIDEND,0.07
2019-10-17,DIVIDEND,0.07
2019-07-18,DIVIDEND,0.07
2019-04-17,DIVIDEND,0.07
2019-01-17,DIVIDEND,0.07
2018-10-18,DIVIDEND,0.07
2018-07-19,DIVIDEND,0.07
2018-04-12,DIVIDEND,0.07
2018-01-18,DIVIDEND,0.07
2017-10-19,DIVIDEND,0.07
2017-07-19,DIVIDEND,0.07
2017-04-12,DIVIDEND,0.07
2017-04-11,DIVIDEND,0.07
2017-01-18,DIVIDEND,0.07
2016-10-12,DIVIDEND,0.07
