,action,value
2021-06-15,DIVIDEND,0.63
2021-03-18,DIVIDEND,0.63
2020-12-17,DIVIDEND,0.58
2020-09-16,DIVIDEND,0.58
2020-06-15,DIVIDEND,0.58
2020-03-13,DIVIDEND,0.58
2019-12-18,DIVIDEND,0.53
2019-09-19,DIVIDEND,0.53
2019-06-12,DIVIDEND,0.53
2019-03-14,DIVIDEND,0.53
2018-12-17,DIVIDEND,0.48
2018-09-14,DIVIDEND,0.48
2018-06-13,DIVIDEND,0.48
2018-03-14,DIVIDEND,0.48
2017-12-15,DIVIDEND,0.44
2017-09-15,DIVIDEND,0.44
2017-06-12,DIVIDEND,0.44
2017-03-13,DIVIDEND,0.44
2016-12-15,DIVIDEND,0.42
2016-09-15,DIVIDEND,0.42
