,action,value
2021-07-30,DIVIDEND,0.83
2021-04-30,DIVIDEND,0.83
2021-01-29,DIVIDEND,0.83
2020-10-30,DIVIDEND,0.83
2020-07-31,DIVIDEND,0.7825
2020-05-01,DIVIDEND,0.783
2020-01-31,DIVIDEND,0.783
2019-11-01,DIVIDEND,0.783
2019-07-31,DIVIDEND,0.738
2019-04-30,DIVIDEND,0.738
2019-01-31,DIVIDEND,0.738
2018-10-31,DIVIDEND,0.738
2018-07-31,DIVIDEND,0.695
2018-04-30,DIVIDEND,0.695
2018-01-31,DIVIDEND,0.695
2017-10-31,DIVIDEND,0.695
2017-07-28,DIVIDEND,0.655
2017-04-27,DIVIDEND,0.655
2017-01-30,DIVIDEND,0.655
2016-10-28,DIVIDEND,0.655
