,action,value
2021-06-09,DIVIDEND,0.415
2021-03-09,DIVIDEND,0.415
2020-12-09,DIVIDEND,0.415
2020-09-09,DIVIDEND,0.415
2020-06-09,DIVIDEND,0.415
2020-03-09,DIVIDEND,0.415
2019-12-09,DIVIDEND,0.413
2019-09-09,DIVIDEND,0.413
2019-06-07,DIVIDEND,0.413
2019-03-07,DIVIDEND,0.413
2018-12-07,DIVIDEND,0.41
2018-09-07,DIVIDEND,0.41
2018-06-07,DIVIDEND,0.41
2018-03-08,DIVIDEND,0.41
2017-12-07,DIVIDEND,0.395
2017-09-07,DIVIDEND,0.395
2017-06-07,DIVIDEND,0.395
2017-03-08,DIVIDEND,0.395
2016-12-07,DIVIDEND,0.38
2016-09-07,DIVIDEND,0.38
