,action,value
2021-09-02,DIVIDEND,0.24
2021-06-03,DIVIDEND,0.24
2021-03-11,DIVIDEND,0.24
2020-11-25,DIVIDEND,0.225
2020-08-27,DIVIDEND,0.225
2020-05-28,DIVIDEND,0.225
2020-02-27,DIVIDEND,0.225
2019-11-27,DIVIDEND,0.21
2019-08-29,DIVIDEND,0.21
2019-05-30,DIVIDEND,0.21
2019-02-28,DIVIDEND,0.19
2018-11-29,DIVIDEND,0.19
2018-08-30,DIVIDEND,0.19
2018-05-31,DIVIDEND,0.19
2018-03-01,DIVIDEND,0.19
2017-11-30,DIVIDEND,0.16
2017-08-23,DIVIDEND,0.16
2017-05-24,DIVIDEND,0.16
2017-03-01,DIVIDEND,0.16
2016-11-23,DIVIDEND,0.145
2016-11-22,DIVIDEND,0.145
