,action,value
2021-08-23,DIVIDEND,1.15
2021-05-24,DIVIDEND,1.15
2021-02-12,DIVIDEND,1.15
2020-11-23,DIVIDEND,1.1
2020-08-24,DIVIDEND,1.1
2020-05-22,DIVIDEND,1.1
2020-02-14,DIVIDEND,1.1
2019-11-25,DIVIDEND,1.0
2019-08-19,DIVIDEND,1.0
2019-05-24,DIVIDEND,1.0
2019-02-19,DIVIDEND,1.0
2018-11-23,DIVIDEND,0.9
2018-08-20,DIVIDEND,0.9
2018-05-21,DIVIDEND,0.9
2018-02-20,DIVIDEND,0.9
2017-11-24,DIVIDEND,0.75
2017-08-18,DIVIDEND,0.75
2017-05-19,DIVIDEND,0.75
2017-02-17,DIVIDEND,0.75
2016-11-18,DIVIDEND,0.7
