,action,value
2021-06-14,DIVIDEND,0.595
2021-03-12,DIVIDEND,0.595
2020-12-15,DIVIDEND,0.595
2020-08-13,DIVIDEND,0.595
2020-05-15,DIVIDEND,0.595
2020-02-21,DIVIDEND,0.595
2019-11-08,DIVIDEND,0.585
2019-08-09,DIVIDEND,0.585
2019-05-10,DIVIDEND,0.585
2019-02-22,DIVIDEND,0.585
2018-11-13,DIVIDEND,0.555
2018-08-14,DIVIDEND,0.555
2018-05-15,DIVIDEND,0.555
2018-02-16,DIVIDEND,0.555
2017-11-14,DIVIDEND,0.53
2017-08-14,DIVIDEND,0.53
2017-05-18,DIVIDEND,0.53
2017-02-22,DIVIDEND,0.51
2016-11-14,DIVIDEND,0.5
