,action,value
2021-08-24,DIVIDEND,0.38
2021-05-24,DIVIDEND,0.38
2021-02-24,DIVIDEND,0.38
2020-11-24,DIVIDEND,0.34
2020-08-24,DIVIDEND,0.34
2020-05-22,DIVIDEND,0.34
2020-02-24,DIVIDEND,0.34
2019-11-22,DIVIDEND,0.31
2019-08-22,DIVIDEND,0.31
2019-05-23,DIVIDEND,0.31
2019-02-22,DIVIDEND,0.31
2018-11-21,DIVIDEND,0.28
2018-08-23,DIVIDEND,0.28
2018-05-24,DIVIDEND,0.28
2018-02-22,DIVIDEND,0.28
2017-11-22,DIVIDEND,0.24
2017-08-23,DIVIDEND,0.24
2017-05-23,DIVIDEND,0.24
2017-02-22,DIVIDEND,0.24
2016-11-22,DIVIDEND,0.22
