,action,value
2021-06-30,DIVIDEND,0.425
2021-03-31,DIVIDEND,0.425
2020-12-31,DIVIDEND,0.425
2020-09-30,DIVIDEND,0.425
2020-06-30,DIVIDEND,0.405
2020-03-31,DIVIDEND,0.405
2019-12-31,DIVIDEND,0.405
2019-09-30,DIVIDEND,0.405
2019-06-28,DIVIDEND,0.375
2019-03-29,DIVIDEND,0.375
2018-12-31,DIVIDEND,0.375
2018-09-28,DIVIDEND,0.375
2018-06-29,DIVIDEND,0.345
2018-03-29,DIVIDEND,0.345
2017-12-29,DIVIDEND,0.345
2017-09-29,DIVIDEND,0.345
2017-06-29,DIVIDEND,0.32
2017-03-30,DIVIDEND,0.32
2016-12-29,DIVIDEND,0.32
2016-09-29,DIVIDEND,0.32
