,action,value
2021-08-19,DIVIDEND,0.51
2021-05-20,DIVIDEND,0.51
2021-02-25,DIVIDEND,0.475
2020-11-12,DIVIDEND,0.475
2020-08-13,DIVIDEND,0.475
2020-05-14,DIVIDEND,0.475
2020-02-13,DIVIDEND,0.462555
2019-11-14,DIVIDEND,0.462555
2019-08-15,DIVIDEND,0.462555
2019-05-16,DIVIDEND,0.462555
2019-02-14,DIVIDEND,0.462555
2018-11-15,DIVIDEND,0.462555
2018-08-16,DIVIDEND,0.440529
2018-05-17,DIVIDEND,0.440529
2018-02-15,DIVIDEND,0.440529
2017-11-16,DIVIDEND,0.440529
2017-08-16,DIVIDEND,0.440529
2017-05-17,DIVIDEND,0.415356
2017-02-15,DIVIDEND,0.415356
2016-11-16,DIVIDEND,0.415356
