,action,value
2021-08-12,DIVIDEND,0.18
2021-05-13,DIVIDEND,0.18
2021-02-11,DIVIDEND,0.18
2020-11-12,DIVIDEND,0.18
2020-08-06,DIVIDEND,0.18
2020-05-07,DIVIDEND,0.18
2020-02-13,DIVIDEND,0.18
2019-11-07,DIVIDEND,0.17
2019-08-08,DIVIDEND,0.17
2019-05-14,DIVIDEND,0.17
2019-02-13,DIVIDEND,0.17
2018-11-08,DIVIDEND,0.13
2018-08-09,DIVIDEND,0.13
2018-05-10,DIVIDEND,0.1
2018-02-08,DIVIDEND,0.1
2017-11-09,DIVIDEND,0.08
2017-08-09,DIVIDEND,0.08
2017-05-10,DIVIDEND,0.08
2017-02-08,DIVIDEND,0.08
2016-11-09,DIVIDEND,0.07
