,action,value
2021-08-19,DIVIDEND,0.55
2021-05-20,DIVIDEND,0.55
2021-02-26,DIVIDEND,0.55
2020-11-12,DIVIDEND,0.446667
2020-08-20,DIVIDEND,0.446667
2020-05-21,DIVIDEND,0.446667
2020-02-28,DIVIDEND,0.446667
2019-11-14,DIVIDEND,0.376667
2019-08-15,DIVIDEND,0.376667
2019-05-16,DIVIDEND,0.376667
2019-02-22,DIVIDEND,0.376667
2018-11-15,DIVIDEND,0.286667
2018-08-16,DIVIDEND,0.286667
2018-05-17,DIVIDEND,0.286667
2018-02-23,DIVIDEND,0.286667
2017-11-16,DIVIDEND,0.283333
2017-08-16,DIVIDEND,0.283333
2017-05-17,DIVIDEND,0.283333
2017-02-23,DIVIDEND,0.283333
2016-11-16,DIVIDEND,0.28
