,action,value
2021-08-13,DIVIDEND,0.66
2021-05-14,DIVIDEND,0.66
2021-02-12,DIVIDEND,0.64
2020-11-13,DIVIDEND,0.64
2020-08-14,DIVIDEND,0.64
2020-05-15,DIVIDEND,0.64
2020-02-14,DIVIDEND,0.62
2019-11-15,DIVIDEND,0.62
2019-08-16,DIVIDEND,0.62
2019-05-17,DIVIDEND,0.62
2019-02-15,DIVIDEND,0.6
2018-11-16,DIVIDEND,0.6
2018-08-17,DIVIDEND,0.6
2018-05-18,DIVIDEND,0.6
2018-02-16,DIVIDEND,0.58
2017-11-17,DIVIDEND,0.58
2017-08-17,DIVIDEND,0.58
2017-05-11,DIVIDEND,0.58
2017-02-16,DIVIDEND,0.56
2016-11-17,DIVIDEND,0.56
