,action,value
2021-05-11,DIVIDEND,0.67
2021-03-23,DIVIDEND,0.67
2020-12-22,DIVIDEND,0.67
2020-09-22,DIVIDEND,0.65
2020-06-23,DIVIDEND,0.65
2020-03-24,DIVIDEND,0.65
2019-12-24,DIVIDEND,0.65
2019-09-24,DIVIDEND,0.63
2019-06-18,DIVIDEND,0.63
2019-03-19,DIVIDEND,0.63
2018-12-18,DIVIDEND,0.63
2018-09-18,DIVIDEND,0.63
2018-06-19,DIVIDEND,0.63
2018-03-20,DIVIDEND,0.63
2017-12-19,DIVIDEND,0.63
2017-09-19,DIVIDEND,0.63
2017-06-19,DIVIDEND,0.63
2017-03-20,DIVIDEND,0.63
2016-12-19,DIVIDEND,0.63
2016-09-19,DIVIDEND,0.63
