,action,value
2021-08-20,DIVIDEND,1.02
2021-05-21,DIVIDEND,1.02
2021-02-19,DIVIDEND,1.02
2020-11-12,DIVIDEND,1.01
2020-08-21,DIVIDEND,1.01
2020-05-22,DIVIDEND,1.01
2020-02-24,DIVIDEND,1.01
2019-11-15,DIVIDEND,0.96
2019-08-16,DIVIDEND,0.96
2019-05-17,DIVIDEND,0.96
2019-02-25,DIVIDEND,0.96
2018-11-16,DIVIDEND,0.91
2018-08-17,DIVIDEND,0.91
2018-05-18,DIVIDEND,0.91
2018-02-16,DIVIDEND,0.91
2017-11-10,DIVIDEND,0.83
2017-08-10,DIVIDEND,0.83
2017-05-11,DIVIDEND,0.83
2017-02-16,DIVIDEND,0.83
2016-11-09,DIVIDEND,0.78
