,action,value
2021-08-04,DIVIDEND,0.98
2021-05-14,DIVIDEND,0.98
2021-02-10,DIVIDEND,0.98
2020-11-17,DIVIDEND,0.98
2020-08-03,DIVIDEND,0.98
2020-05-13,DIVIDEND,0.98
2020-02-11,DIVIDEND,0.98
2019-11-19,DIVIDEND,0.9
2019-08-05,DIVIDEND,0.9
2019-05-14,DIVIDEND,0.9
2019-02-12,DIVIDEND,0.9
2018-11-19,DIVIDEND,0.8
2018-08-06,DIVIDEND,0.8
2018-05-16,DIVIDEND,0.8
2018-02-12,DIVIDEND,0.8
2017-11-20,DIVIDEND,0.7
2017-08-07,DIVIDEND,0.7
2017-05-15,DIVIDEND,0.7
2017-02-13,DIVIDEND,0.7
2016-11-18,DIVIDEND,0.6
