,action,value
2021-08-12,DIVIDEND,0.6775
2021-05-13,DIVIDEND,0.678
2021-02-11,DIVIDEND,0.6775
2020-11-12,DIVIDEND,0.6325
2020-08-13,DIVIDEND,0.6325
2020-05-13,DIVIDEND,0.6325
2020-02-13,DIVIDEND,0.633
2019-11-13,DIVIDEND,0.59
2019-08-13,DIVIDEND,0.59
2019-05-13,DIVIDEND,0.59
2019-02-13,DIVIDEND,0.59
2018-11-13,DIVIDEND,0.553
2018-08-13,DIVIDEND,0.553
2018-05-11,DIVIDEND,0.553
2018-02-13,DIVIDEND,0.553
2017-11-13,DIVIDEND,0.52
2017-08-10,DIVIDEND,0.52
2017-05-10,DIVIDEND,0.52
2017-02-10,DIVIDEND,0.52
2016-11-10,DIVIDEND,0.495
2016-11-09,DIVIDEND,0.495
