,action,value
2021-08-26,DIVIDEND,1.4
2021-05-20,DIVIDEND,1.4
2021-02-25,DIVIDEND,1.25
2020-11-19,DIVIDEND,1.25
2020-08-27,DIVIDEND,1.2
2020-05-14,DIVIDEND,1.2
2020-02-27,DIVIDEND,1.2
2019-11-14,DIVIDEND,1.2
2019-08-29,DIVIDEND,1.2
2019-05-16,DIVIDEND,1.2
2019-02-28,DIVIDEND,1.15
2018-11-15,DIVIDEND,1.15
2018-08-30,DIVIDEND,1.15
2018-05-17,DIVIDEND,1.15
2018-03-01,DIVIDEND,1.1
2017-11-16,DIVIDEND,1.1
2017-08-23,DIVIDEND,1.1
2017-05-17,DIVIDEND,1.1
2017-03-01,DIVIDEND,1.0
2016-11-16,DIVIDEND,1.0
