,action,value
2021-06-24,DIVIDEND,0.11
2021-03-25,DIVIDEND,0.1
2020-12-23,DIVIDEND,0.1
2020-09-24,DIVIDEND,0.1
2020-06-25,DIVIDEND,0.1
2020-03-26,DIVIDEND,0.1
2019-12-26,DIVIDEND,0.1
2019-09-26,DIVIDEND,0.1
2019-06-27,DIVIDEND,0.088
2019-03-28,DIVIDEND,0.088
2018-12-27,DIVIDEND,0.088
2018-09-27,DIVIDEND,0.088
2018-06-28,DIVIDEND,0.088
2018-03-28,DIVIDEND,0.088
2017-12-28,DIVIDEND,0.088
2017-09-28,DIVIDEND,0.088
2017-09-27,DIVIDEND,0.0875
2017-06-28,DIVIDEND,0.088
2017-03-29,DIVIDEND,0.088
2016-12-28,DIVIDEND,0.078
2016-09-28,DIVIDEND,0.078
